id,timestamp,affected_id,event_id,story_id,duration_s
1,2026-04-18 17:22:30,5,2,1,3000
2,2026-04-18 17:30:26,4,1,1,3000
3,2026-04-18 17:39:14,4,4,6,3000
4,2026-04-18 17:42:42,3,2,1,3000
5,2026-04-18 17:49:26,2,1,2,3000
6,2026-04-18 17:55:43,6,2,2,3000
7,2026-04-18 17:57:55,3,4,7,3000
8,2026-04-18 18:03:24,7,1,1,3000
9,2026-04-18 18:06:44,2,4,4,3000
10,2026-04-18 18:06:44,2,4,6,3000
11,2026-04-18 18:13:34,2,3,3,600
12,2026-04-18 18:22:26,3,5,10,1200
13,2026-04-18 18:33:54,3,3,3,600
14,2026-04-18 18:37:50,6,3,3,600
15,2026-04-18 18:45:29,6,2,2,3000
16,2026-04-18 18:54:20,4,3,3,600
17,2026-04-18 19:15:57,4,1,2,3000
18,2026-04-18 19:22:00,3,4,5,3000
19,2026-04-18 19:36:32,4,4,5,3000
20,2026-04-18 19:37:04,5,5,9,1200
21,2026-04-18 19:37:34,3,5,10,1200
22,2026-04-18 19:38:04,4,4,6,3000
23,2026-04-18 19:50:14,6,5,10,1200
24,2026-04-18 20:06:42,3,4,15,3000
25,2026-04-18 20:10:40,7,4,5,3000
26,2026-04-18 20:11:09,5,5,9,1200
