id,timestamp,sender_id,recipient_id,amount,asset_id,detail
1,2026-04-18 16:29:36,1,2,10000.0,1,Starting Money
2,2026-04-18 16:31:44,1,3,10000.0,1,Starting Money
3,2026-04-18 16:32:27,1,4,10000.0,1,Starting Money
4,2026-04-18 16:33:54,1,5,10000.0,1,Starting Money
5,2026-04-18 16:34:18,1,6,10000.0,1,Starting Money
6,2026-04-18 16:56:17,4,1,60.0,21,1
7,2026-04-18 17:05:22,3,1,25.0,20,1
8,2026-04-18 17:09:55,3,1,85.0,14,1
9,2026-04-18 17:14:32,2,1,25.0,20,1
10,2026-04-18 17:14:34,1,7,10000.0,1,Starting Money
11,2026-04-18 17:19:00,2,1,35.0,15,1
12,2026-04-18 17:22:30,3,5,2500.0,57,investor
13,2026-04-18 17:25:00,6,1,35.0,15,1
14,2026-04-18 17:30:26,2,4,5500.0,58,investor
15,2026-04-18 17:35:02,7,1,120.0,11,1
16,2026-04-18 17:36:41,7,1,120.0,11,1
17,2026-04-18 17:36:45,1,7,120.0,11,16
18,2026-04-18 17:37:02,3,1,35.0,15,1
19,2026-04-18 17:38:10,7,1,25.0,20,1
20,2026-04-18 17:39:14,7,1,1500.0,7,4
21,2026-04-18 17:40:35,1,4,481.0,58,Invention Profit
22,2026-04-18 17:40:35,1,2,120.0,58,Investor Equity
23,2026-04-18 17:41:03,6,1,40.0,16,1
24,2026-04-18 17:42:11,2,1,25.0,20,1
25,2026-04-18 17:42:42,5,3,1500.0,59,investor
26,2026-04-18 17:49:26,4,2,7000.0,60,investor
27,2026-04-18 17:51:07,1,4,804.0,58,Invention Profit
28,2026-04-18 17:51:07,1,2,200.0,58,Investor Equity
29,2026-04-18 17:51:07,3,1,28.0,59,Invention Maintenance
30,2026-04-18 17:51:07,5,1,3.0,59,Investor Punishment
31,2026-04-18 17:51:07,1,2,108.0,60,Invention Profit
32,2026-04-18 17:51:07,1,4,18.0,60,Investor Equity
33,2026-04-18 17:52:36,5,1,35.0,15,1
34,2026-04-18 17:55:43,7,6,5000.0,61,investor
35,2026-04-18 17:56:44,3,1,500.0,2,in
36,2026-04-18 17:57:55,6,1,1500.0,7,4
37,2026-04-18 17:59:46,6,1,300.0,2,in
38,2026-04-18 18:01:39,1,4,896.0,58,Invention Profit
39,2026-04-18 18:01:39,1,2,224.0,58,Investor Equity
40,2026-04-18 18:01:39,3,1,28.0,59,Invention Maintenance
41,2026-04-18 18:01:39,5,1,3.0,59,Investor Punishment
42,2026-04-18 18:01:39,1,2,191.0,60,Invention Profit
43,2026-04-18 18:01:39,1,4,33.0,60,Investor Equity
44,2026-04-18 18:01:39,6,1,128.0,61,Invention Maintenance
45,2026-04-18 18:01:39,7,1,32.0,61,Investor Punishment
46,2026-04-18 18:03:24,6,7,5000.0,62,investor
47,2026-04-18 18:04:15,6,1,35.0,15,1
48,2026-04-18 18:06:44,6,1,1500.0,7,4
49,2026-04-18 18:06:44,6,1,1500.0,7,4
50,2026-04-18 18:09:59,2,1,40.0,16,1
51,2026-04-18 18:10:41,5,1,25.0,20,1
52,2026-04-18 18:12:11,1,4,1442.0,58,Invention Profit
53,2026-04-18 18:12:11,1,2,360.0,58,Investor Equity
54,2026-04-18 18:12:11,3,1,28.0,59,Invention Maintenance
55,2026-04-18 18:12:11,5,1,3.0,59,Investor Punishment
56,2026-04-18 18:12:11,1,2,246.0,60,Invention Profit
57,2026-04-18 18:12:11,1,4,43.0,60,Investor Equity
58,2026-04-18 18:12:11,6,1,128.0,61,Invention Maintenance
59,2026-04-18 18:12:11,7,1,32.0,61,Investor Punishment
60,2026-04-18 18:12:11,1,7,164.0,62,Invention Profit
61,2026-04-18 18:12:11,1,6,40.0,62,Investor Equity
62,2026-04-18 18:12:46,1,3,460.0,2,out
63,2026-04-18 18:13:34,2,1,100.0,7,3
64,2026-04-18 18:13:44,4,1,1000.0,2,in
65,2026-04-18 18:17:09,6,1,120.0,11,1
66,2026-04-18 18:22:26,3,1,950.0,7,5
67,2026-04-18 18:22:43,1,4,1888.0,58,Invention Profit
68,2026-04-18 18:22:43,1,2,471.0,58,Investor Equity
69,2026-04-18 18:22:43,3,1,28.0,59,Invention Maintenance
70,2026-04-18 18:22:43,5,1,3.0,59,Investor Punishment
71,2026-04-18 18:22:43,1,2,414.0,60,Invention Profit
72,2026-04-18 18:22:43,1,4,73.0,60,Investor Equity
73,2026-04-18 18:22:43,6,1,128.0,61,Invention Maintenance
74,2026-04-18 18:22:43,7,1,32.0,61,Investor Punishment
75,2026-04-18 18:22:43,1,7,291.0,62,Invention Profit
76,2026-04-18 18:22:43,1,6,72.0,62,Investor Equity
77,2026-04-18 18:22:48,5,1,35.0,15,1
78,2026-04-18 18:23:27,5,1,75.15,52,1
79,2026-04-18 18:26:35,5,1,471.04999999999995,56,5
80,2026-04-18 18:27:53,2,1,243.51,51,3
81,2026-04-18 18:28:24,1,2,0.0,6,6-12
82,2026-04-18 18:29:28,3,1,85.0,14,1
83,2026-04-18 18:29:33,2,1,85.0,14,1
84,2026-04-18 18:29:53,5,1,25.0,20,1
85,2026-04-18 18:33:15,1,4,1188.0,58,Invention Profit
86,2026-04-18 18:33:15,1,2,296.0,58,Investor Equity
87,2026-04-18 18:33:15,3,1,28.0,59,Invention Maintenance
88,2026-04-18 18:33:15,5,1,3.0,59,Investor Punishment
89,2026-04-18 18:33:15,1,2,524.0,60,Invention Profit
90,2026-04-18 18:33:15,1,4,92.0,60,Investor Equity
91,2026-04-18 18:33:15,6,1,128.0,61,Invention Maintenance
92,2026-04-18 18:33:15,7,1,32.0,61,Investor Punishment
93,2026-04-18 18:33:15,1,7,368.0,62,Invention Profit
94,2026-04-18 18:33:15,1,6,92.0,62,Investor Equity
95,2026-04-18 18:33:26,1,5,340.20000000000005,56,3
96,2026-04-18 18:33:54,3,1,100.0,7,3
97,2026-04-18 18:35:23,5,1,166.92,52,2
98,2026-04-18 18:35:43,7,1,120.0,11,1
99,2026-04-18 18:35:55,2,1,761.9,53,10
100,2026-04-18 18:36:25,2,1,510.45000000000005,56,5
101,2026-04-18 18:37:23,7,1,472.45,52,5
102,2026-04-18 18:37:33,3,1,500.0,2,in
103,2026-04-18 18:37:50,6,1,100.0,7,3
104,2026-04-18 18:38:06,7,1,241.35000000000002,55,3
105,2026-04-18 18:38:26,5,1,100.0,2,in
106,2026-04-18 18:39:09,2,1,1000.0,2,in
107,2026-04-18 18:39:45,4,1,85.0,14,1
108,2026-04-18 18:40:31,5,1,438.40000000000003,53,5
109,2026-04-18 18:40:39,3,1,438.40000000000003,53,5
110,2026-04-18 18:43:47,1,4,954.0,58,Invention Profit
111,2026-04-18 18:43:47,1,2,238.0,58,Investor Equity
112,2026-04-18 18:43:47,3,1,28.0,59,Invention Maintenance
113,2026-04-18 18:43:47,5,1,3.0,59,Investor Punishment
114,2026-04-18 18:43:47,1,2,544.0,60,Invention Profit
115,2026-04-18 18:43:47,1,4,96.0,60,Investor Equity
116,2026-04-18 18:43:47,6,1,128.0,61,Invention Maintenance
117,2026-04-18 18:43:47,7,1,32.0,61,Investor Punishment
118,2026-04-18 18:43:47,1,7,684.0,62,Invention Profit
119,2026-04-18 18:43:47,1,6,170.0,62,Investor Equity
120,2026-04-18 18:45:29,7,6,2500.0,63,investor
121,2026-04-18 18:46:33,6,1,50.0,20,2
122,2026-04-18 18:48:26,6,1,25.0,20,1
123,2026-04-18 18:48:59,5,1,85.0,14,1
124,2026-04-18 18:49:07,5,1,85.0,14,1
125,2026-04-18 18:49:10,1,5,85.0,14,124
126,2026-04-18 18:49:14,5,1,65.0,13,1
127,2026-04-18 18:53:13,1,3,501.65,53,5
128,2026-04-18 18:53:20,7,1,120.0,11,1
129,2026-04-18 18:53:21,1,5,484.09999999999997,53,5
130,2026-04-18 18:53:35,3,1,241.68,54,3
131,2026-04-18 18:54:19,1,4,802.0,58,Invention Profit
132,2026-04-18 18:54:19,1,2,200.0,58,Investor Equity
133,2026-04-18 18:54:19,1,2,387.0,60,Invention Profit
