id,timestamp,asset_id,worth
1,2026-04-18 15:13:42,11,120.0
2,2026-04-18 15:13:42,12,35.0
3,2026-04-18 15:13:42,13,65.0
4,2026-04-18 15:13:42,14,85.0
5,2026-04-18 15:13:42,15,35.0
6,2026-04-18 15:13:42,16,40.0
7,2026-04-18 15:13:42,17,70.0
8,2026-04-18 15:13:42,18,40.0
9,2026-04-18 15:13:42,19,50.0
10,2026-04-18 15:13:42,20,25.0
11,2026-04-18 15:13:42,21,60.0
12,2026-04-18 15:13:42,50,50.0
13,2026-04-18 15:14:12,11,120.0
14,2026-04-18 15:14:12,12,35.0
15,2026-04-18 15:14:12,13,65.0
16,2026-04-18 15:14:12,14,85.0
17,2026-04-18 15:14:12,15,35.0
18,2026-04-18 15:14:12,16,40.0
19,2026-04-18 15:14:12,17,70.0
20,2026-04-18 15:14:12,18,40.0
21,2026-04-18 15:14:12,19,50.0
22,2026-04-18 15:14:12,20,25.0
23,2026-04-18 15:14:12,21,60.0
24,2026-04-18 15:14:12,50,50.0
25,2026-04-18 15:14:42,11,120.0
26,2026-04-18 15:14:42,12,35.0
27,2026-04-18 15:14:42,13,65.0
28,2026-04-18 15:14:42,14,85.0
29,2026-04-18 15:14:42,15,35.0
30,2026-04-18 15:14:42,16,40.0
31,2026-04-18 15:14:42,17,70.0
32,2026-04-18 15:14:42,18,40.0
33,2026-04-18 15:14:42,19,50.0
34,2026-04-18 15:14:42,20,25.0
35,2026-04-18 15:14:42,21,60.0
36,2026-04-18 15:14:42,50,50.0
37,2026-04-18 15:15:12,11,120.0
38,2026-04-18 15:15:12,12,35.0
39,2026-04-18 15:15:12,13,65.0
40,2026-04-18 15:15:12,14,85.0
41,2026-04-18 15:15:12,15,35.0
42,2026-04-18 15:15:12,16,40.0
43,2026-04-18 15:15:12,17,70.0
44,2026-04-18 15:15:12,18,40.0
45,2026-04-18 15:15:12,19,50.0
46,2026-04-18 15:15:12,20,25.0
47,2026-04-18 15:15:12,21,60.0
48,2026-04-18 15:15:12,50,50.0
49,2026-04-18 15:15:42,11,120.0
50,2026-04-18 15:15:43,12,35.0
51,2026-04-18 15:15:43,13,65.0
52,2026-04-18 15:15:43,14,85.0
53,2026-04-18 15:15:43,15,35.0
54,2026-04-18 15:15:43,16,40.0
55,2026-04-18 15:15:43,17,70.0
56,2026-04-18 15:15:43,18,40.0
57,2026-04-18 15:15:43,19,50.0
58,2026-04-18 15:15:43,20,25.0
59,2026-04-18 15:15:43,21,60.0
60,2026-04-18 15:15:43,50,50.0
61,2026-04-18 15:16:13,11,120.0
62,2026-04-18 15:16:13,12,35.0
63,2026-04-18 15:16:13,13,65.0
64,2026-04-18 15:16:13,14,85.0
65,2026-04-18 15:16:13,15,35.0
66,2026-04-18 15:16:13,16,40.0
67,2026-04-18 15:16:13,17,70.0
68,2026-04-18 15:16:13,18,40.0
69,2026-04-18 15:16:13,19,50.0
70,2026-04-18 15:16:13,20,25.0
71,2026-04-18 15:16:13,21,60.0
72,2026-04-18 15:16:13,50,50.0
73,2026-04-18 15:16:43,11,120.0
74,2026-04-18 15:16:43,12,35.0
75,2026-04-18 15:16:43,13,65.0
76,2026-04-18 15:16:43,14,85.0
77,2026-04-18 15:16:43,15,35.0
78,2026-04-18 15:16:43,16,40.0
79,2026-04-18 15:16:43,17,70.0
80,2026-04-18 15:16:43,18,40.0
81,2026-04-18 15:16:43,19,50.0
82,2026-04-18 15:16:43,20,25.0
83,2026-04-18 15:16:43,21,60.0
84,2026-04-18 15:16:43,50,50.0
85,2026-04-18 15:17:13,11,120.0
86,2026-04-18 15:17:13,12,35.0
87,2026-04-18 15:17:13,13,65.0
88,2026-04-18 15:17:13,14,85.0
89,2026-04-18 15:17:13,15,35.0
90,2026-04-18 15:17:13,16,40.0
91,2026-04-18 15:17:13,17,70.0
92,2026-04-18 15:17:13,18,40.0
93,2026-04-18 15:17:13,19,50.0
94,2026-04-18 15:17:13,20,25.0
95,2026-04-18 15:17:13,21,60.0
96,2026-04-18 15:17:13,50,50.0
97,2026-04-18 15:17:43,11,120.0
98,2026-04-18 15:17:43,12,35.0
99,2026-04-18 15:17:43,13,65.0
100,2026-04-18 15:17:43,14,85.0
101,2026-04-18 15:17:43,15,35.0
102,2026-04-18 15:17:43,16,40.0
103,2026-04-18 15:17:43,17,70.0
104,2026-04-18 15:17:43,18,40.0
105,2026-04-18 15:17:43,19,50.0
106,2026-04-18 15:17:43,20,25.0
107,2026-04-18 15:17:43,21,60.0
108,2026-04-18 15:17:43,50,50.0
109,2026-04-18 15:18:13,11,120.0
110,2026-04-18 15:18:13,12,35.0
111,2026-04-18 15:18:13,13,65.0
112,2026-04-18 15:18:13,14,85.0
113,2026-04-18 15:18:13,15,35.0
114,2026-04-18 15:18:13,16,40.0
115,2026-04-18 15:18:13,17,70.0
116,2026-04-18 15:18:13,18,40.0
117,2026-04-18 15:18:13,19,50.0
118,2026-04-18 15:18:13,20,25.0
119,2026-04-18 15:18:13,21,60.0
120,2026-04-18 15:18:13,50,50.0
121,2026-04-18 15:18:43,11,120.0
122,2026-04-18 15:18:43,12,35.0
123,2026-04-18 15:18:43,13,65.0
124,2026-04-18 15:18:43,14,85.0
125,2026-04-18 15:18:43,15,35.0
126,2026-04-18 15:18:43,16,40.0
127,2026-04-18 15:18:43,17,70.0
128,2026-04-18 15:18:43,18,40.0
129,2026-04-18 15:18:43,19,50.0
130,2026-04-18 15:18:43,20,25.0
131,2026-04-18 15:18:43,21,60.0
132,2026-04-18 15:18:43,50,50.0
133,2026-04-18 15:19:13,11,120.0
134,2026-04-18 15:19:13,12,35.0
135,2026-04-18 15:19:13,13,65.0
136,2026-04-18 15:19:13,14,85.0
137,2026-04-18 15:19:13,15,35.0
138,2026-04-18 15:19:13,16,40.0
139,2026-04-18 15:19:13,17,70.0
140,2026-04-18 15:19:13,18,40.0
141,2026-04-18 15:19:13,19,50.0
142,2026-04-18 15:19:13,20,25.0
143,2026-04-18 15:19:13,21,60.0
144,2026-04-18 15:19:13,50,50.0
145,2026-04-18 15:19:43,11,120.0
146,2026-04-18 15:19:43,12,35.0
147,2026-04-18 15:19:43,13,65.0
148,2026-04-18 15:19:43,14,85.0
149,2026-04-18 15:19:43,15,35.0
150,2026-04-18 15:19:43,16,40.0
151,2026-04-18 15:19:43,17,70.0
152,2026-04-18 15:19:43,18,40.0
153,2026-04-18 15:19:43,19,50.0
154,2026-04-18 15:19:43,20,25.0
155,2026-04-18 15:19:43,21,60.0
156,2026-04-18 15:19:43,50,50.0
157,2026-04-18 15:20:13,11,120.0
158,2026-04-18 15:20:13,12,35.0
159,2026-04-18 15:20:13,13,65.0
160,2026-04-18 15:20:13,14,85.0
161,2026-04-18 15:20:13,15,35.0
162,2026-04-18 15:20:13,16,40.0
163,2026-04-18 15:20:13,17,70.0
164,2026-04-18 15:20:13,18,40.0
165,2026-04-18 15:20:13,19,50.0
166,2026-04-18 15:20:13,20,25.0
167,2026-04-18 15:20:13,21,60.0
168,2026-04-18 15:20:13,50,50.0
169,2026-04-18 15:20:43,11,120.0
170,2026-04-18 15:20:43,12,35.0
171,2026-04-18 15:20:43,13,65.0
172,2026-04-18 15:20:43,14,85.0
173,2026-04-18 15:20:43,15,35.0
174,2026-04-18 15:20:43,16,40.0
175,2026-04-18 15:20:43,17,70.0
176,2026-04-18 15:20:43,18,40.0
177,2026-04-18 15:20:43,19,50.0
178,2026-04-18 15:20:43,20,25.0
179,2026-04-18 15:20:43,21,60.0
180,2026-04-18 15:20:43,50,50.0
181,2026-04-18 15:21:13,11,120.0
182,2026-04-18 15:21:13,12,35.0
183,2026-04-18 15:21:13,13,65.0
184,2026-04-18 15:21:13,14,85.0
185,2026-04-18 15:21:13,15,35.0
186,2026-04-18 15:21:13,16,40.0
187,2026-04-18 15:21:13,17,70.0
188,2026-04-18 15:21:13,18,40.0
189,2026-04-18 15:21:13,19,50.0
190,2026-04-18 15:21:13,20,25.0
191,2026-04-18 15:21:13,21,60.0
192,2026-04-18 15:21:13,50,50.0
193,2026-04-18 15:21:43,11,120.0
194,2026-04-18 15:21:43,12,35.0
195,2026-04-18 15:21:43,13,65.0
196,2026-04-18 15:21:43,14,85.0
197,2026-04-18 15:21:43,15,35.0
198,2026-04-18 15:21:43,16,40.0
199,2026-04-18 15:21:43,17,70.0
200,2026-04-18 15:21:43,18,40.0
201,2026-04-18 15:21:43,19,50.0
202,2026-04-18 15:21:43,20,25.0
203,2026-04-18 15:21:43,21,60.0
204,2026-04-18 15:21:43,50,50.0
205,2026-04-18 15:22:13,11,120.0
206,2026-04-18 15:22:13,12,35.0
207,2026-04-18 15:22:13,13,65.0
208,2026-04-18 15:22:13,14,85.0
209,2026-04-18 15:22:13,15,35.0
210,2026-04-18 15:22:13,16,40.0
